study_id,link_to_study,study_title,study_year,Journal,Citations,Label
hm0001,https://www.sciencedirect.com/science/article/pii/S0140673620304608,The psychological impact of quarantine and how to reduce it: rapid review of the evidence,2020,Lancet,97,H_and_M
hm0002,https://www.sciencedirect.com/science/article/pii/S0140673618322797,"Global, regional, and national incidence, prevalence, and years lived with disability for 354 diseases and injuries for 195 countries and territories, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017",2017,Lancet,154,H_and_M
hm0003,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30185-9/fulltext,A novel coronavirus outbreak of global health concern,2020,Lancet,4791,H_and_M
hm0004,https://www.sciencedirect.com/science/article/pii/S0140673620306279,COVID-19 and Italy: what next?,2020,Lancet,1999,H_and_M
hm0005,https://www.sciencedirect.com/science/article/abs/pii/S014067361730569X,Structural racism and health inequities in the USA: evidence and interventions,2017,Lancet,0,H_and_M
hm0006,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30317-2/fulltext,Clinical evidence does not support corticosteroid treatment for 2019-nCoV lung injury,2020,Lancet,1411,H_and_M
hm0007,https://www.sciencedirect.com/science/article/pii/S0140673620326568,6-month consequences of COVID-19 in patients discharged from hospital: a cohort study,2021,Lancet,0,H_and_M
hm0008,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31094-1/fulltext,Hyperinflammatory shock in children during COVID-19 pandemic,2020,Lancet,0,H_and_M
hm0009,https://www.sciencedirect.com/science/article/pii/S0140673618313102,"Alcohol use and burden for 195 countries and territories, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016",2018,Lancet,0,H_and_M
hm0010,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30547-X/fulltext?dm_i=JAQ%2C6U4T8%2CSYMFFT%2CRJ7AG%2C1,Mitigate the effects of home confinement on children during the COVID-19 outbreak,2020,Lancet,1143,H_and_M
hm0011,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30547-X/fulltext?dm_i=JAQ%2C6U4T8%2CSYMFFT%2CRJ7AG%2C1,"Pembrolizumab versus chemotherapy for previously untreated, PD-L1-expressing, locally advanced or metastatic non-small-cell lung cancer (KEYNOTE-042): a randomised, open-label, controlled, phase 3 trial",2020,Lancet,11,H_and_M
hm0012,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30461-X/fulltext,"Global, regional, and national burden of chronic kidney disease, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017",2020,Lancet,15,H_and_M
hm0013,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30461-X/fulltext,How to fight an infodemic,2020,Lancet,276,H_and_M
