study_id,link_to_study,study_title,study_year,Journal,Citations,Label
hm0015,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30526-2/fulltext?vid=184,COVID-19: the gendered impacts of the outbreak,2020,Lancet,1021,H_and_M
hm0018,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30673-5/fulltext,COVID-19: towards controlling of a pandemic,2020,Lancet,0,H_and_M
hm0021,https://www.sciencedirect.com/science/article/abs/pii/S0140673618304896,"Prevention and treatment of low back pain: evidence, challenges, and promising directions",2018,Lancet,4,H_and_M
hm0026,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)30638-4/supplemental,"Effect of early tranexamic acid administration on mortality, hysterectomy, and other morbidities in women with post-partum haemorrhage (WOMAN): an international, randomised, double-blind, placebo-controlled trial",2017,Lancet,11,H_and_M
hm0037,https://www.thelancet.com/journals/laninf/article/PIIS0140-6736(20)32000-6/fulltext,Offline: COVID-19 is not a pandemic,2020,Lancet,0,H_and_M
hm0059,https://www.nature.com/articles/S41591-021-01294-w,Resistance of SARS-CoV-2 variants to neutralization by monoclonal and serum-derived polyclonal antibodies,2021,Nature Medicine,5,H_and_M
hm0085,https://www.nature.com/articles/nm.4394,GFRAL is the receptor for GDF15 and is required for the anti-obesity effects of the ligand,2017,Nature Medicine,0,H_and_M
hm0086,https://www.nature.com/articles/s41591-021-01548-7,Effect of Delta variant on viral burden and vaccine effectiveness against new SARS-CoV-2 infections in the UK,2021,Nature Medicine,342,H_and_M
hm0088,https://www.nature.com/articles/s41591-019-0357-y,A single dose of neoadjuvant PD-1 blockade predicts clinical outcomes in resectable melanoma,2019,Nature Medicine,18,H_and_M
hm0109,https://www.science.org/doi/full/10.1126/science.abc6952,A neutralizing human antibody binds to the N-terminal domain of the Spike protein of SARS-CoV-2,2020,Science,0,H_and_M
hm0118,https://www.science.org/doi/full/10.1126/science.aan4672,Gene therapy comes of age,2018,Science,1,H_and_M
hm0134,https://www.science.org/doi/full/10.1126/science.abe8499,SARS-CoV-2 D614G variant exhibits efficient replication ex vivo and transmission in vivo,2020,Science,1,H_and_M
hm0168,https://scholar.google.com/scholar?oi=bibs&cluster=2666400980173569366&btnI=1&hl=en,Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data,2017,BMJ,2,H_and_M
hm0177,https://www.bmj.com/content/361/bmj.k1315.abstract,Anticholinergic drugs and risk of dementia: case-control study,2018,BMJ,1,H_and_M
hm0182,https://www.bmj.com/content/357/bmj.j2709.full,"Physical activity, cognitive decline, and risk of dementia: 28 year follow-up of Whitehall II cohort study",2017,BMJ,207,H_and_M
hm0183,https://www.bmj.com/content/363/bmj.k4738.short,Impact of patient and public involvement on enrolment and retention in clinical trials: systematic review and meta-analysis,2018,BMJ,243,H_and_M
hm0187,https://www.bmj.com/content/369/bmj.m1401.short,Covid-19: A&E visits in England fall by 25% in week after lockdown,2020,BMJ,201,H_and_M
hm0197,https://www.bmj.com/content/372/bmj.n699/rapid-responses?int_source=trendmd&int_medium=cpc&int_campaign=usage-042019,Covid-19: European countries suspend use of Oxford-AstraZeneca vaccine after reports of blood clots,2021,BMJ,219,H_and_M
hm0201,https://www.bmj.com/content/361/bmj.k2139.abstract,"Dietary fat and cardiometabolic health: evidence, controversies, and consensus for guidance",2018,BMJ,186,H_and_M
hm0211,https://jamanetwork.com/journals/jama/article-abstract/2762028,Presumed Asymptomatic Carrier Transmission of COVID-19,2020,JAMA,3119,H_and_M
hm0222,https://jamanetwork.com/journals/jama/article-abstract/2766943,Effect of Convalescent Plasma Therapy on Time to Clinical Improvement in Patients With Severe and Life-threatening COVID-19,2020,JAMA,62,H_and_M
hm0227,https://jamanetwork.com/journals/jama/article-abstract/2761659,Novel Coronavirus Infection in Hospitalized Infants Under 1 Year of Age in China,2020,JAMA,0,H_and_M
hm0274,https://jamanetwork.com/journals/jama/article-abstract/2698493,Effect of a Strategy of a Supraglottic Airway Device vs Tracheal Intubation During Out-of-Hospital Cardiac Arrest on Functional Outcome,2018,JAMA,258,H_and_M
hm0289,https://scholar.google.com/scholar?oi=bibs&cluster=16811778017715501344&btnI=1&hl=en,"The impact of the COVID-19 pandemic on cancer deaths due to delays in diagnosis in England, UK: a national, population-based, modelling study",2020,The Lancet Oncology,1070,H_and_M
hm0297,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30380-7/fulltext,Previous radiotherapy and the clinical activity and toxicity of pembrolizumab in the treatment of non-small-cell lung cancer: a secondary analysis of the KEYNOTE-001 phase 1 trial,2017,The Lancet Oncology,694,H_and_M
hm0315,https://scholar.google.com/scholar?oi=bibs&cluster=7078363470922673854&btnI=1&hl=en,Effect of early and systematic integration of palliative care in patients with advanced cancer: a randomised controlled trial,2020,The Lancet Oncology,247,H_and_M
hm0322,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30104-3/fulltext,"Nivolumab for previously treated unresectable metastatic anal cancer (NCI9673): a multicentre, single-arm, phase 2 study",2017,The Lancet Oncology,0,H_and_M
hm0332,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(18)30495-9/fulltext,"Camrelizumab (SHR-1210) alone or in combination with gemcitabine plus cisplatin for nasopharyngeal carcinoma: results from two single-arm, phase 1 trials",2018,The Lancet Oncology,291,H_and_M
hm0367,https://aacrjournals.org/cancerres/article/79/13_Supplement/913/637510/Abstract-913-Early-detection-of-metastatic-relapse,Abstract 913: Early detection of metastatic relapse and monitoring of therapeutic efficacy by ultra-deep sequencing of plasma cell-free DNA in patients with urothelial bladder carcinoma ,2019,Journal of Clincial Oncology,5,H_and_M
hm0368,https://eprints.whiterose.ac.uk/140593/,Fixed Duration of Venetoclax-Rituximab in Relapsed/Refractory Chronic Lymphocytic Leukemia Eradicates Minimal Residual Disease and Prolongs Survival: Post-Treatment Follow-Up of the MURANO Phase III Study,2019,Journal of Clincial Oncology,220,H_and_M
hm0372,https://scholarworks.iupui.edu/items/0b09f0b8-78bb-4560-a51a-fb90482e85c6,Safety and Antitumor Activity of the Anti–Programmed Death-1 Antibody Pembrolizumab in Patients With Advanced Esophageal Carcinoma,2018,Journal of Clincial Oncology,212,H_and_M
hm0378,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6506418/,Mutational Analysis of Patients With Colorectal Cancer in CALGB/SWOG 80405 Identifies New Roles of Microsatellite Instability and Tumor Mutational Burden for Patient Outcome,2019,Journal of Clincial Oncology,195,H_and_M
hm0389,https://ascopubs.org/doi/abs/10.1200/JCO.2020.38.15_suppl.9503,"Primary analysis of a randomized, double-blind, phase II study of the anti-TIGIT antibody tiragolumab (tira) plus atezolizumab (atezo) versus placebo plus atezo as first-line (1L) treatment in patients with PD-L1-selected NSCLC (CITYSCAPE).",2020,Journal of Clincial Oncology,157,H_and_M
hm0432,https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.119.044183,Effect of Dapagliflozin on Atrial Fibrillation in Patients With Type 2 Diabetes Mellitus:: Insights From the DECLARE-TIMI 58 Trial,2020,Circulation,0,H_and_M
hm0434,https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.120.048792,Left Ventricular Unloading Is Associated With Lower Mortality in Patients With Cardiogenic Shock Treated With Venoarterial Extracorporeal Membrane Oxygenation,2020,Circulation,0,H_and_M
hm0442,https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.120.046361,Carotid Intima-Media Thickness Progression as Surrogate Marker for Cardiovascular Risk: Meta-Analysis of 119 Clinical Trials Involving 100 667 Patients,2020,Circulation,20,H_and_M
hm0456,https://www.nejm.org/doi/full/10.1056/nejmoa1915745,Atezolizumab plus Bevacizumab in Unresectable Hepatocellular Carcinoma,2020,New England Journal of Medicine,4,H_and_M
hm0459,https://www.nejm.org/doi/full/10.1056/NEJMoa2007016,Compassionate Use of Remdesivir for Patients with Severe Covid-19,2020,New England Journal of Medicine,0,H_and_M
hm0466,https://www.nejm.org/doi/full/10.1056/nejmoa1801946,Nivolumab plus Ipilimumab in Lung Cancer with a High Tumor Mutational Burden,2018,New England Journal of Medicine,0,H_and_M
hm0486,https://www.nejm.org/doi/full/10.1056/NEJMoa1912388,Efficacy and Safety of Low-Dose Colchicine after Myocardial Infarction,2019,New England Journal of Medicine,0,H_and_M
hm0495,https://www.nejm.org/doi/full/10.1056/nejmoa2007621,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",2020,New England Journal of Medicine,7,H_and_M
hm0511,https://www.nejm.org/doi/full/10.1056/NEJMoa2030183,Sotagliflozin in Patients with Diabetes and Recent Worsening Heart Failure,2021,New England Journal of Medicine,0,H_and_M
hm0525,nejm.org/doi/full/10.1056/nejmc2003717,"Detection of Covid-19 in Children in Early January 2020 in Wuhan, China",2020,New England Journal of Medicine,52,H_and_M
hm0533,https://www.nejm.org/doi/full/10.1056/NEJMoa2035716,Lenvatinib plus Pembrolizumab or Everolimus for Advanced Renal Cell Carcinoma,2021,New England Journal of Medicine,1,H_and_M
hm0543,https://www.nejm.org/doi/full/10.1056/NEJMoa1916623,The Effect of Advances in Lung-Cancer Treatment on Population Mortality,2020,New England Journal of Medicine,0,H_and_M
hm0547,https://www.nejm.org/doi/full/10.1056/nejmoa1902688,Gilteritinib or Chemotherapy for Relapsed or Refractory FLT3-Mutated AML,2019,New England Journal of Medicine,0,H_and_M
ss0591,https://www.sciencedirect.com/science/article/abs/pii/S0360131518302161,The effects of mobile phone use on academic performance: A meta-analysis,2018,Computers & Education,85,SS
ss0622,https://link.springer.com/article/10.1007/s10551-017-3731-z,Managing Carbon Aspirations: The Influence of Corporate Climate Change Targets on Environmental Performance,2017,Journal of Business Ethics,97,SS
ss0626,https://link.springer.com/article/10.1007/s10551-018-4054-4,An Analysis of Glass Ceiling Perceptions in the Accounting Profession,2018,Journal of Business Ethics,0,SS
ss0627,https://link.springer.com/article/10.1007/s10551-018-3839-9,Ethical Leadership and Team-Level Creativity: Mediation of Psychological Safety Climate and Moderation of Supervisor Support for Creativity,2018,Journal of Business Ethics,81,SS
ss0633,https://www.nature.com/articles/s41562-020-0887-9,Applying principles of behaviour change to reduce SARS-CoV-2 transmission,2020,Nature Human Behaviour,387,SS
ss0644,https://www.nature.com/articles/s41562-020-00998-2,Neighbourhood income and physical distancing during the COVID-19 pandemic in the United States,2020,Nature Human Behaviour,185,SS
ss0648,https://www.nature.com/articles/s41562-017-0279-y,The causal effects of education on health outcomes in the UK Biobank,2018,Nature Human Behaviour,164,SS
ss0683,https://onlinelibrary.wiley.com/doi/abs/10.1002/bse.1983,Institutional Pressures and Environmental Management Practices: The Moderating Effects of Environmental Commitment and Resource Availability,2017,Business Strategy and the Environment,126,SS
ss0693,https://onlinelibrary.wiley.com/doi/abs/10.1002/bse.2074,"Consumer motivations for sustainable consumption: The interaction of gain, normative and hedonic motivations on electric vehicle adoption",2018,Business Strategy and the Environment,94,SS
ss0704,https://onlinelibrary.wiley.com/doi/abs/10.1002/bse.2036,"Institutional pressure, knowledge acquisition and a firm's environmental innovation",2018,Business Strategy and the Environment,96,SS
ss0713,https://www.sciencedirect.com/science/article/pii/S0277953620304809,"Psychological resilience, depression, anxiety, and somatization symptoms in response to COVID-19: A study of the general population in China at the peak of its epidemic",2020,Social Science & Medicine,219,SS
ss0715,https://www.sciencedirect.com/science/article/abs/pii/S0277953617302903,Racial disparities in health among nonpoor African Americans and Hispanics: The role of acute and chronic discrimination,2018,Social Science & Medicine,163,SS
ss0719,https://www.sciencedirect.com/science/article/abs/pii/S0277953619305659,Housing as a determinant of health equity: A conceptual model,2019,Social Science & Medicine,143,SS
ss0728,https://www.sciencedirect.com/science/article/pii/S027795361730758X,Unintended consequences of the ‘bushmeat ban’ in West Africa during the 2013–2016 Ebola virus disease epidemic,2018,Social Science & Medicine,89,SS
ss0740,https://www.sciencedirect.com/science/article/abs/pii/S0277953618304763,"Connection, meaning, and distraction: A qualitative study of video game play and mental health recovery in veterans treated for mental and/or behavioral health problems",2018,Social Science & Medicine,65,SS
ss0741,https://www.sciencedirect.com/science/article/pii/S0277953618303927,It's the mother!: How assumptions about the causal primacy of maternal effects influence research on the developmental origins of health and disease,2018,Social Science & Medicine,73,SS
ss0761,https://journals.sagepub.com/doi/abs/10.1177/1461444818776611,Beyond the hashtag: Circumventing content moderation on social media,2018,New Media & Society,107,SS
ss0790,https://www.sciencedirect.com/science/article/abs/pii/S0264837718316715,Grey areas in green grabbing: subtle and indirect interconnections between climate change politics and land grabs and their implications for research,2019,Land Use Policy,62,SS
ss0804,https://www.sciencedirect.com/science/article/abs/pii/S0264837717306002,Pesticide Load—A new Danish pesticide risk indicator with multiple applications,2018,Land Use Policy,76,SS
ss0824,https://www.sciencedirect.com/science/article/pii/S2214629620302681,Analysis of mobility trends during the COVID-19 coronavirus pandemic: Exploring the impacts on global aviation and travel in selected cities,2020,Energy Research & Social Science,147,SS
ss0849,https://www.sciencedirect.com/science/article/abs/pii/S2214629619301975,"What drives home solar PV uptake? Subsidies, peer effects and visibility in Sweden",2020,Energy Research & Social Science,94,SS
ss0851,https://www.sciencedirect.com/science/article/pii/S2214629618303694,Solar powered electricity access: Implications for women’s empowerment in rural Kenya,2018,Energy Research & Social Science,69,SS
ss0853,https://www.sciencedirect.com/science/article/abs/pii/S2214629619301185,Flexibility capital and flexibility justice in smart energy systems,2019,Energy Research & Social Science,74,SS
ss0862,https://www.sciencedirect.com/science/article/abs/pii/S0048733319300733,Is this time different? How digitalization influences job creation and destruction☆,2019,Research Policy,134,SS
ss0865,https://www.sciencedirect.com/science/article/pii/S0048733317302147,Innovation and government intervention: A comparison of Singapore and Hong Kong,2018,Research Policy,121,SS
ss0874,https://www.sciencedirect.com/science/article/abs/pii/S0048733319301532,Exaptation in a digital innovation ecosystem: The disruptive impacts of 3D printing,2020,Research Policy,108,SS
ss0875,https://www.sciencedirect.com/science/article/abs/pii/S0048733317301786,Organizational and human resource management and innovation: Which management practices are linked to product and/or process innovation?,2018,Research Policy,83,SS
ss0889,https://www.sciencedirect.com/science/article/abs/pii/S004873331730166X,The distinct signaling effects of R&D subsidy and non-R&D subsidy on IPO performance of IT entrepreneurial firms in China,2018,Research Policy,101,SS
ss0934,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2018.304743,Access to Pain Management as a Human Right,2019,American Journal of Public Health,93,SS
bem0944,https://www.sciencedirect.com/science/article/pii/S0148296320303271,"I'll trade you diamonds for toilet paper: Consumer reacting, coping and adapting behaviors in the COVID-19 pandemic",2020,Journal of Business Research,358,B_and_E
bem0946,https://www.sciencedirect.com/science/article/abs/pii/S0148296319300098,"Green process innovation, green product innovation, and corporate financial performance: A content analysis method☆",2019,Journal of Business Research,455,B_and_E
bem0949,https://www.sciencedirect.com/science/article/abs/pii/S0148296318304776,Chatbot e-service and customer satisfaction regarding luxury brands,2020,Journal of Business Research,312,B_and_E
bem0955,https://www.sciencedirect.com/science/article/pii/S014829631930061X,Big data analytics and firm performance: Findings from a mixed-method approach,2019,Journal of Business Research,273,B_and_E
bem0956,https://www.sciencedirect.com/science/article/pii/S014829631930102X,Organizing for digital servitization: A service ecosystem perspective,2019,Journal of Business Research,270,B_and_E
bem0966,https://www.sciencedirect.com/science/article/pii/S0148296318305575,The role of inspiring role models in enhancing entrepreneurial intention,2019,Journal of Business Research,116,B_and_E
bem0967,https://www.sciencedirect.com/science/article/abs/pii/S0148296318300249,Building small firm performance through intellectual capital development: Exploring innovation as the “black box”☆,2018,Journal of Business Research,106,B_and_E
bem0976,https://www.sciencedirect.com/science/article/pii/S0148296320300345,Customer experience management in the age of big data analytics: A strategic framework,2020,Journal of Business Research,97,B_and_E
bem0985,https://www.sciencedirect.com/science/article/abs/pii/S0148296319307179,"Impact of product characteristics of limited edition shoes on perceived value, brand trust, and purchase intention; focused on the scarcity message frequency",2020,Journal of Business Research,76,B_and_E
bem0989,https://www.aeaweb.org/articles?id=10.1257%2Faer.109.4.1197&utm_medium=email&utm_source=govdelivery,Public Debt and Low Interest Rates,2019,American Economic Review,26,B_and_E
bem1021,https://www.aeaweb.org/articles?id=10.1257/aer.20150681,Real Effects of Information Frictions: When the States and the Kingdom Became United,2018,American Economic Review,76,B_and_E
bem1023,https://www.aeaweb.org/articles?id=10.1257/aer.20190789,Putting the Cycle Back into Business Cycle Analysis,2020,American Economic Review,9,B_and_E
bem1036,https://www.sciencedirect.com/science/article/pii/S004016251931217X,Smart factory performance and Industry 4.0,2020,Technological Forecasting and Social Change,313,B_and_E
bem1051,https://www.sciencedirect.com/science/article/abs/pii/S0040162518307352,"Environmental ethics, environmental performance, and competitive advantage: Role of environmental training",2019,Technological Forecasting and Social Change,198,B_and_E
